,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_est__bootstrap,param_est__max_depth,param_est__max_features,param_est__min_samples_leaf,param_est__n_estimators,params,mean_test_exp_var,std_test_exp_var,rank_test_exp_var,mean_train_exp_var,std_train_exp_var,mean_test_r2,std_test_r2,rank_test_r2,mean_train_r2,std_train_r2,mean_test_mae,std_test_mae,rank_test_mae,mean_train_mae,std_train_mae,mean_test_mse,std_test_mse,rank_test_mse,mean_train_mse,std_train_mse
0,0.6228540897369385,0.05191572771484152,0.03138551712036133,0.006577863652822162,True,29,0.1844347898661638,0.07806910002727693,125,"{'est__bootstrap': True, 'est__max_depth': 29, 'est__max_features': 0.1844347898661638, 'est__min_samples_leaf': 0.07806910002727693, 'est__min_samples_split': 0.11977318143135092, 'est__n_estimators': 125}",0.5579317081790717,0.03419723111451275,83,0.5555301003373126,0.008960416135237216,0.5571142358113421,0.03386226783215404,83,0.5555294312563033,0.008960948614297842,-3.8542379834189666,0.17008719458593136,85,-3.846923191837283,0.05225610967555405,-52.74973451328638,10.524910544691227,83,-52.6225547225856,1.5046596738282445
1,2.027696633338928,0.20352830946822953,0.11427726745605468,0.021712895930897955,True,23,0.05908361216819946,0.08671761457749352,667,"{'est__bootstrap': True, 'est__max_depth': 23, 'est__max_features': 0.05908361216819946, 'est__min_samples_leaf': 0.08671761457749352, 'est__min_samples_split': 0.12062188733689856, 'est__n_estimators': 667}",0.24087959165707334,0.01979665116922601,96,0.24016842029017157,0.011832905867337614,0.23899159304525347,0.019274406074373928,96,0.24016807513822047,0.01183287127187341,-5.80534122959143,0.26157994777693355,96,-5.7977725920580685,0.08529020183089842,-90.1301953954057,13.751193039062017,96,-89.95628466850135,2.210881729138553
2,1.39887535572052,0.08723845776125534,0.08482756614685058,0.009291362090708202,True,22,0.05741157902710026,0.07229987722668248,389,"{'est__bootstrap': True, 'est__max_depth': 22, 'est__max_features': 0.05741157902710026, 'est__min_samples_leaf': 0.07229987722668248, 'est__min_samples_split': 0.18777198909413428, 'est__n_estimators': 389}",0.2579007925940589,0.025659646335754044,95,0.2562876903038621,0.010558287408533908,0.2560951539324099,0.024806495155754536,95,0.25628734373987816,0.0105583040518006,-5.70260465951471,0.2865107790362471,95,-5.696662809432238,0.06935786905987006,-88.21025980815176,14.228317828734257,95,-88.0391025817538,1.6796489826505747
3,13.52383620738983,0.2782377372999694,0.19814813137054443,0.030306009049412098,False,21,0.6184815096277165,0.061265316048828095,860,"{'est__bootstrap': False, 'est__max_depth': 21, 'est__max_features': 0.6184815096277165, 'est__min_samples_leaf': 0.061265316048828095, 'est__min_samples_split': 0.002406194738723764, 'est__n_estimators': 860}",0.7124085449253917,0.03616023679235742,25,0.7134509291869294,0.003971849459748898,0.7119018542813311,0.03586944582439322,25,0.7134509291869294,0.003971849459748906,-2.8542224160022025,0.2001030887429945,22,-2.823100957785185,0.028746421047945923,-34.47445388968297,8.241106645507026,25,-33.926020388864785,0.854725128454767
4,17.770526146888734,0.35511672980819453,0.20207457542419432,0.03217728077612458,True,27,0.6128528947223795,0.014049386065204183,979,"{'est__bootstrap': True, 'est__max_depth': 27, 'est__max_features': 0.6128528947223795, 'est__min_samples_leaf': 0.014049386065204183, 'est__min_samples_split': 0.05913678505850842, 'est__n_estimators': 979}",0.7734222125638301,0.03327421525641631,6,0.7818059154863383,0.0032715272606657266,0.7730847933034234,0.03346421666659397,6,0.7818058651342079,0.003271507400525154,-2.5383768719585538,0.17034146467739184,6,-2.4801510266360838,0.018462180797075872,-27.031724898602583,6.6356885369766445,6,-25.82878048406487,0.47391228267277585
5,5.21511287689209,0.15122137544661024,0.11465775966644287,0.025855924279332296,True,47,0.6193860093330873,0.03834619912671628,508,"{'est__bootstrap': True, 'est__max_depth': 47, 'est__max_features': 0.6193860093330873, 'est__min_samples_leaf': 0.03834619912671628, 'est__min_samples_split': 0.19666294627555087, 'est__n_estimators': 508}",0.570222543848596,0.03873112062476572,77,0.5690138199967697,0.005164102038995342,0.5694172562270768,0.03866168665946253,77,0.5690135669150427,0.005163962718467614,-3.608601753123817,0.20176791283095022,71,-3.5918935715653086,0.03013454946336766,-51.25693418235041,10.58981371510978,77,-51.02397600193221,1.1183401931579982
6,8.603058123588562,0.12931652563787235,0.09060595035552979,0.011773597104644559,True,37,0.6085448519014384,0.017152412368729154,391,"{'est__bootstrap': True, 'est__max_depth': 37, 'est__max_features': 0.6085448519014384, 'est__min_samples_leaf': 0.017152412368729154, 'est__min_samples_split': 0.013945267004070623, 'est__n_estimators': 391}",0.7974994136270334,0.03141794629100922,3,0.8065863141003273,0.0028175916825208575,0.7971740339966578,0.03159743635202113,3,0.806586147920887,0.0028174713544451622,-2.384016190830253,0.17163671526900065,3,-2.31341806329801,0.020784713697678477,-24.185780894414712,6.010681871867166,3,-22.897604567044322,0.5219596139544715
7,7.01414921283722,0.21102562125259652,0.09465467929840088,0.015122465518025506,True,14,0.8093973481164611,0.03056137691733707,343,"{'est__bootstrap': True, 'est__max_depth': 14, 'est__max_features': 0.8093973481164611, 'est__min_samples_leaf': 0.03056137691733707, 'est__min_samples_split': 0.020436750687270393, 'est__n_estimators': 343}",0.7344505150808951,0.03987788656409585,16,0.7376757323692018,0.004925506161589913,0.7340488336084687,0.03961439232762323,16,0.7376755402410585,0.004925387671275431,-2.7019677889344047,0.22757525673868453,15,-2.6588266997671774,0.02339464175890433,-31.9106416535598,8.279732594228573,16,-31.05649625253925,0.8241015907293215
8,0.6063909292221069,0.014887295506790552,0.020978236198425294,0.005977150748580771,False,47,0.6842635188254582,0.0610996657782621,38,"{'est__bootstrap': False, 'est__max_depth': 47, 'est__max_features': 0.6842635188254582, 'est__min_samples_leaf': 0.0610996657782621, 'est__min_samples_split': 0.1668057874354967, 'est__n_estimators': 38}",0.7030412960804013,0.03762730320952493,31,0.7047587806839938,0.004022622106870787,0.7024997222669259,0.0373112628881862,31,0.7047587806839938,0.004022622106870791,-2.935879692089376,0.22046092002830228,29,-2.8996597633443004,0.030526995009608947,-35.62823903352232,8.607491114778874,31,-34.9520332279872,0.7431686612860733
9,3.09263813495636,0.12492420636805603,0.09183745384216309,0.01450062634159877,False,17,0.2597799816000169,0.0663522284353982,393,"{'est__bootstrap': False, 'est__max_depth': 17, 'est__max_features': 0.2597799816000169, 'est__min_samples_leaf': 0.0663522284353982, 'est__min_samples_split': 0.06303050414179279, 'est__n_estimators': 393}",0.6602017509439719,0.040268294424379784,46,0.6605664859438625,0.005428266072890274,0.6596911991445538,0.04005309431037345,46,0.6605664859438625,0.005428266072890282,-3.2086729070209814,0.2016665983262872,46,-3.1835203003068693,0.023837663461273882,-40.66753414205535,9.596775576341035,46,-40.18601388218296,1.0165916650828108
